Discipline,Competition Code,Competition,City,Type,Event,Event Unit,Date,Rank,SDMS ID,Athlete/Team,NPC,Class,IRM,Time
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 50 m Breaststroke SB2;Final 1;2019-09-09;1;3520;CASTORENA VELEZ Jose Arnulfo;MEX;SB2;;00:57.24
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 50 m Breaststroke SB3;Final 1;2019-09-15;2;3713;KOMATSU Takayuki;JPN;SB3;;00:48.83
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 50 m Breaststroke SB3;Final 1;2019-09-15;1;4146;MORELLI Efrem;ITA;SB3;;00:47.49
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB4;Final 1;2019-09-09;2;3774;FUENTES GARCIA Moises;COL;SB4;;01:37.45
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB4;Final 1;2019-09-09;1;22629;CHERNIAEV Dmitrii;RUS;SB4;;01:36.20
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB5;Final 1;2019-09-09;2;26718;LI Junsheng;CHN;SB5;;01:28.80
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB5;Final 1;2019-09-09;1;19810;GRANICHKA Andrei;RUS;SB5;;01:27.15
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB6;Final 1;2019-09-15;2;8935;BOHODAIKO Yevhenii;UKR;SB6;;01:21.25
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB6;Final 1;2019-09-15;1;15020;CRISPIN CORZO Nelson;COL;SB6;;01:19.24
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB7;Final 1;2019-09-11;2;26434;EFROSININ Egor;RUS;SB7;;01:16.55
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB7;Final 1;2019-09-11;1;21432;SERRANO ZARATE Carlos Daniel;COL;SB7;;01:11.31
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB8;Final 1;2019-09-15;2;23006;SALGUERO GALISTEO Oscar;ESP;SB8;;01:08.97
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB8;Final 1;2019-09-15;1;5617;KALINA Andrei;RUS;SB8;;01:08.84
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB9;Final 1;2019-09-14;2;24032;LEROUX James;CAN;SB9;;01:08.56
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB9;Final 1;2019-09-14;1;35998;RAIMONDI Stefano;ITA;SB9;;01:05.58
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB11;Final 1;2019-09-11;1;6706;YANG Bozun;CHN;SB11;;01:10.73
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB11;Final 1;2019-09-11;2;21985;DORSMAN Rogier;NED;SB11;;01:11.47
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB12;Final 1;2019-09-12;1;6937;FEDYNA Oleksii;UKR;SB12;;01:04.62
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB12;Final 1;2019-09-12;2;6967;IZOTAU Uladzimir;BLR;SB12;;01:05.01
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB13;Final 1;2019-09-12;1;26419;ENGEL Taliso;GER;SB13;;01:05.20
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB13;Final 1;2019-09-12;2;28825;MUSABEKOV Firdavsbek;UZB;SB13;;01:05.49
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB14;Final 1;2019-09-11;1;41361;YAMAGUCHI Naohide;JPN;SB14;;01:04.95
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 100 m Breaststroke SB14;Final 1;2019-09-11;2;15273;QUIN Scott;GBR;SB14;;01:05.46
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 50 m Butterfly S5;Final 1;2019-09-12;1;29703;WANG Lichao;CHN;S5;;00:31.52
Swimming;SWAW19;London 2019 World Para Swimming Championships;London;World Championships;Men's 50 m Butterfly S5;Final 1;2019-09-12;2;4438;SEMENENKO Yaroslav;UKR;S5;;00:33.22
