IPC Sport Data Management System;;;;;;;;;;;;;;
IPC Swimming Rankings - Rio 2016 Paralympic Games;;;;;;;;;;;;;;
User;;Guest;;;;;;;;;;;;
Timestamp;;Tue, 11 Aug 2015 12:47:49 +0200;;;;;;;;;;;;
Period Start;;15.10.2014;;;;;;;;;;;;
Period End;;14.8.2016;;;;;;;;;;;;
Course;;Long Course;;;;;;;;;;;;
;;;;;;;;;;;;;;
Event Code;Gender;Event;Rank;SDMS ID;Family Name;Given Name;NPC;Birth;Result;Time (ms);Qualification;Date;City;Country
SWMF5004010000;M;Men's 50 m Freestyle S4;7;14554;Cordeiro Da Silva;Ronystony;BRA;1980;00:40.66;40660;MQS;15.11.2014;Fortaleza;Brazil
SWMF5004010000;M;Men's 50 m Freestyle S4;8;3870;Sanchez Martinez;Gustavo;MEX;1994;00:40.68;40680;MQS;15.7.2015;Glasgow;Great Britain
SWMF5004010000;M;Men's 50 m Freestyle S4;9;17027;Jin;Zhipeng;CHN;1992;00:41.49;41490;MQS;22.10.2014;Incheon;South Korea
SWMF5004010000;M;Men's 50 m Freestyle S4;10;3645;Petracek;Arnost;CZE;1991;00:41.77;41770;MET;18.4.2015;Berlin;Germany
SWMF5004010000;M;Men's 50 m Freestyle S4;11;3662;Oribe;Richard;ESP;1974;00:41.81;41810;MET;7.6.2015;Barcelona;Spain
SWMF5004010000;M;Men's 50 m Freestyle S4;12;17862;Derevinskyi;Andrii;UKR;1988;00:41.82;41820;MET;18.4.2015;Berlin;Germany
SWMF5004010000;M;Men's 50 m Freestyle S4;13;3599;Povysil;Jan;CZE;1982;00:41.94;41940;MET;8.3.2015;Alcorcon (Madrid);Spain
SWMF5004010000;M;Men's 50 m Freestyle S4;14;3605;Schoenmaker;Michael;NED;1983;00:42.04;42040;MET;5.4.2015;Eindhoven;Netherlands
SWMF5004010000;M;Men's 50 m Freestyle S4;15;3554;Duric;Darko;SLO;1989;00:42.36;42360;MET;17.5.2015;Split;Croatia
SWMF5004010000;M;Men's 50 m Freestyle S4;16;15029;Lyzhikhin;Aleksei;RUS;1967;00:43.58;43580;MET;14.7.2015;Glasgow;Great Britain
SWMF5005010000;M;Men's 50 m Freestyle S5;1;3761;Dias;Daniel;BRA;1988;00:32.71;32710;MQS;17.7.2015;Glasgow;Great Britain
SWMF5005010000;M;Men's 50 m Freestyle S5;2;3865;Rodriguez;Sebastian;ESP;1957;00:34.61;34610;MQS;17.7.2015;Glasgow;Great Britain
SWMF5005010000;M;Men's 50 m Freestyle S5;3;8941;Vo;Thanh Tung;VIE;1985;00:34.88;34880;MQS;17.7.2015;Glasgow;Great Britain
SWMF5005010000;M;Men's 50 m Freestyle S5;4;10930;Mullen;Andrew;GBR;1996;00:34.94;34940;MQS;17.7.2015;Glasgow;Great Britain
SWMF5005010000;M;Men's 50 m Freestyle S5;5;3805;Kryzhanovskiy;Dmitry;RUS;1974;00:35.17;35170;MQS;10.12.2014;Dzerzhinsk;Russia
SWMF5005010000;M;Men's 50 m Freestyle S5;6;3849;Perkins;Roy;USA;1990;00:35.21;35210;MQS;17.7.2015;Glasgow;Great Britain
SWMF5005010000;M;Men's 50 m Freestyle S5;7;3877;Silva;Clodoaldo;BRA;1979;00:35.53;35530;MQS;15.11.2014;Fortaleza;Brazil
SWMF5005010000;M;Men's 50 m Freestyle S5;8;22563;Curin;Theo;FRA;2000;00:36.50;36500;MQS;17.7.2015;Glasgow;Great Britain
SWMF5005010000;M;Men's 50 m Freestyle S5;9;3873;Scully;James;IRL;1993;00:37.92;37920;MQS;17.7.2015;Glasgow;Great Britain
SWMF5005010000;M;Men's 50 m Freestyle S5;10;22590;Tiagunov;Viacheslav;RUS;1987;00:38.06;38060;MQS;17.7.2015;Glasgow;Great Britain
SWMF5005010000;M;Men's 50 m Freestyle S5;11;23453;Lopez Diaz;Diego;MEX;1994;00:38.48;38480;MQS;17.7.2015;Glasgow;Great Britain
SWMF5005010000;M;Men's 50 m Freestyle S5;12;26718;Li;Junsheng;CHN;2000;00:38.56;38560;MQS;24.4.2015;Sao Paulo;Brazil
SWMF5005010000;M;Men's 50 m Freestyle S5;13;3713;Suzuki;Takayuki;JPN;1987;00:38.77;38770;MQS;22.10.2014;Incheon;South Korea
SWMF5005010000;M;Men's 50 m Freestyle S5;14;3690;Larsen;Jonas;DEN;1992;00:38.89;38890;MQS;17.7.2015;Glasgow;Great Britain
SWMF5005010000;M;Men's 50 m Freestyle S5;15;4362;Siga;Jamery;MAS;1985;00:39.14;39140;MET;22.10.2014;Incheon;South Korea
SWMF5005010000;M;Men's 50 m Freestyle S5;16;3795;Kaewkham;Voravit;THA;1973;00:39.20;39200;MET;22.10.2014;Incheon;South Korea
